Key.down,1746799583.1113048
Key.down,1746799583.4479156
z,1746799583.8613126
z,1746799585.2434497
z,1746799588.6491282
z,1746799589.2298653
z,1746799589.6765618
z,1746799590.0652623
z,1746799590.5333445
z,1746799590.9483626
z,1746799592.9230344
z,1746799593.6753983
z,1746799594.462963
z,1746799595.1034381
z,1746799595.7752142
z,1746799596.539695
Key.right,1746799599.5098996
Key.right,1746799600.0583267
z,1746799600.6110873
x,1746799603.0327454
x,1746799603.814118
Key.home,1746799605.6812265
Key.down,1746799620.3025553
Key.down,1746799620.7159138
z,1746799621.153846
Key.down,1746799622.6717916
z,1746799623.1330175
Key.esc,1746799628.4849586
Key.up,1746799628.9462361
Key.up,1746799629.2840843
z,1746799629.9869165
Key.down,1746799630.4869165
Key.up,1746799631.0869165
